id,domain,category,name,description,page_layout,components_used,user_flow,best_practices,tags
p-b2b-001,b2b-admin,crud,master-detail-crud,"Master-detail CRUD pattern with list view and edit panel","SidebarNav | DataTable (left) || DetailPanel (right); FilterBar above table; BulkActionBar at bottom","DataTable, FilterPanel, ComplexForm, PageHeader, StatusBadge, AlertDialog","List → Select item → Detail view → Edit → Save/Cancel; Bulk select → Bulk action","Use optimistic UI for inline edits; Show unsaved changes indicator; Confirm destructive actions; Support keyboard navigation",crud master detail list edit admin
p-b2b-002,b2b-admin,crud,modal-crud,"CRUD operations using modal dialogs from a list view","PageHeader + FilterBar + DataTable; Create/Edit via Dialog overlay","DataTable, Dialog, ComplexForm, Button, Toast","List → Click Add → Modal form → Save → Toast confirmation; List → Click row → Modal detail → Edit → Save","Keep modals focused (max 5-6 fields); Pre-fill edit forms; Validate before submit; Close on successful save",crud modal dialog form create edit
p-b2b-003,b2b-admin,dashboard,analytics-dashboard,"Dashboard with KPI cards, charts, and data summary tables","Grid: StatCards (top row) → Charts (middle, 2-col) → RecentActivity table (bottom)","StatCard, DashboardCard, DataTable, Badge, DateRangePicker","Land on dashboard → Review KPIs → Drill into chart → View data table → Export","Show last-updated timestamp; Allow date range filtering; Lazy-load chart data; Provide drill-down links from KPIs",dashboard analytics kpi chart summary
p-b2b-004,b2b-admin,dashboard,operational-dashboard,"Real-time operational dashboard with status monitoring","Grid: AlertBanner (top) → StatusGrid (middle) → ActivityStream (right sidebar)","StatCard, StatusBadge, AuditLog, Alert, Badge","Monitor dashboard → Notice alert → Click for details → Take action → Return to monitoring","Auto-refresh data (30s interval); Highlight critical items; Provide quick-action buttons; Show connection status",dashboard operational realtime monitor status
p-b2b-005,b2b-admin,data-entry,bulk-edit,"Bulk editing pattern for modifying multiple records simultaneously","DataTable with editable cells; BulkActionBar; Confirmation dialog","DataTable, BulkActionBar, ComplexForm, AlertDialog, Toast","Select rows → Click bulk action → Review changes → Confirm → Apply","Show affected record count; Preview changes before applying; Allow undo; Validate all records before commit",bulk edit batch modify multiple records
p-b2b-006,b2b-admin,navigation,role-based-nav,"Navigation that adapts based on user role and permissions","SidebarNav with role-filtered items; PageHeader with role badge; Content area","SidebarNav, RoleBadge, PageHeader, Badge","Login → Role-filtered nav renders → Navigate to permitted page → Unauthorized pages hidden","Hide unauthorized nav items (don't disable); Show role indicator; Redirect unauthorized access; Audit role changes",navigation role permission rbac auth
p-b2b-007,b2b-admin,data-display,data-export,"Data export workflow with format selection and preview","DataTable → ExportButton dropdown → Format selection → Preview → Download","DataTable, ExportButton, Dialog, Button, Toast","View data → Click export → Select format (CSV/XLSX/PDF) → Preview → Download","Support partial export (selected rows); Show row count; Offer scheduled exports; Queue large exports",export download csv xlsx pdf data
p-b2b-008,b2b-admin,data-display,audit-trail,"Audit log display pattern with filtering and detail expansion","FilterBar → AuditLog timeline; Click entry → Expanded detail card","AuditLog, FilterPanel, UserAvatar, Badge, Card","View log → Filter by user/action/date → Click entry → See details → Export if needed","Show who/what/when/where; Color-code by action type; Link to affected entity; Paginate large logs",audit log trail activity history timeline
p-b2b-009,b2b-admin,search-filter,advanced-search,"Advanced search with saved filters and suggestions","SearchInput → Suggestion dropdown; Advanced filter toggle → FilterPanel sidebar","SearchInput, FilterPanel, DataTable, Badge, Button","Type query → See suggestions → Select or refine → Apply filters → View results → Save filter","Debounce search (300ms); Show result count; Preserve filters on navigation; Support query syntax",search filter advanced suggestion saved
p-b2b-010,b2b-admin,wizard,settings-wizard,"Multi-step settings configuration wizard","Progress steps (top) → Section content (center) → Navigation buttons (bottom)","ComplexForm, SettingsForm, Button, Progress, Card","Step 1: Basic → Step 2: Advanced → Step 3: Review → Save","Validate each step before proceeding; Allow back navigation; Show summary before save; Persist draft state",wizard settings configuration multi-step setup
p-b2b-011,b2b-admin,data-display,comparison-view,"Side-by-side comparison of two or more records","Split view with synchronized scrolling; Difference highlighting","Card, Table, Badge, Button, Separator","Select items to compare → View side-by-side → Highlight differences → Choose preferred","Highlight changed fields; Allow field-by-field merge; Support 2-4 items; Sticky column headers",comparison diff side-by-side merge
p-b2b-012,b2b-admin,data-entry,import-wizard,"Data import wizard with file upload, mapping, and validation","Step 1: Upload → Step 2: Column mapping → Step 3: Validation → Step 4: Import","Button, Table, Select, Alert, Progress, Toast","Upload file → Map columns → Validate → Review errors → Import → Summary","Show validation errors per row; Allow partial import; Preview first 5 rows; Support CSV/XLSX",import upload csv mapping validation wizard
p-b2b-013,b2b-admin,dashboard,notification-center,"Centralized notification management with categories and actions","Sheet panel from right; Tabs for categories; Notification list with actions","Sheet, Tabs, Badge, Button, Separator, Avatar","Click bell icon → Sheet opens → Filter by category → Read/dismiss → Take action","Group by date; Mark all as read; Badge unread count; Link to source; Auto-dismiss stale items",notification center alert inbox bell
p-b2b-014,b2b-admin,crud,tree-crud,"Hierarchical CRUD for nested data (org chart, categories)","TreeView (left) → Detail panel (right); Add/move/delete via context menu","Card, Button, DropdownMenu, Dialog, ComplexForm","Navigate tree → Select node → View/edit details → Add child → Drag to rearrange","Lazy-load children; Expand/collapse all; Breadcrumb trail; Confirm moves",tree hierarchy nested org category crud
p-b2b-015,b2b-admin,data-display,kanban-board,"Kanban board for status-based workflow management","Column grid: one column per status; Draggable cards between columns","Card, Badge, Avatar, Button, DropdownMenu","View board → Drag card to new status → Card updates → Filter/search","Limit WIP per column; Show card count; Quick-add card; Filter by assignee",kanban board workflow status drag drop
p-b2b-016,b2b-admin,data-entry,batch-upload,"Batch file upload with progress tracking","Upload zone → File list with progress bars → Summary","Button, Progress, Badge, Alert, Card","Drag files → Upload starts → Monitor progress → Review results","Show per-file progress; Allow cancel; Validate file type/size; Resume failed uploads",upload batch file progress drag-drop
p-b2b-017,b2b-admin,search-filter,global-search,"App-wide search via command palette","Ctrl+K → CommandPalette overlay → Categorized results → Navigate","CommandPalette, Badge, Avatar, Separator","Press Ctrl+K → Type query → See categorized results → Select → Navigate","Group results by type; Show recent searches; Keyboard navigation; Shortcut hints",search global command palette keyboard
p-b2b-018,b2b-admin,data-display,detail-page,"Entity detail page with tabs, related data, and action header","PageHeader → TabNav → Tab content (Info/Activity/Settings/Related)","PageHeader, TabNav, Card, DataTable, AuditLog, Badge, Button","Navigate to entity → View summary → Switch tabs → Edit → Save","Lazy-load tab content; Show key info in header; Quick actions in header; Breadcrumb navigation",detail page entity view tabs info
p-ht-001,hotel-travel,booking,booking-wizard,"Multi-step hotel booking flow with summary sidebar","ProgressSteps (top) → StepContent (left 60%) || BookingSummary (right 40%); Mobile: full-width steps with collapsible summary","BookingWizard, DateRangePicker, GuestForm, PriceDisplay, BookingSummary, Button","Search → Select room → Choose dates → Guest info → Payment → Confirmation","Show total at every step; Allow date changes throughout; Auto-save progress; Mobile-first layout",booking wizard hotel reservation multi-step
p-ht-002,hotel-travel,search-filter,room-browser,"Room search and filtering with map or list view toggle","SearchBar (top) → FilterPanel (left) || RoomCards grid/list (right); Map toggle","SearchBar, FilterPanel, RoomCard, MapView, Pagination, Badge","Search → Filter by amenities/price/rating → Toggle map/list → Select room → View details","Show result count; Sort by relevance/price/rating; Infinite scroll or pagination; Preserve scroll position",search room browse filter map list
p-ht-003,hotel-travel,data-display,availability-calendar,"Calendar-based availability and pricing display","Month navigation → Calendar grid; Color-coded cells; Rate display per cell","AvailabilityCalendar, PriceDisplay, Badge, Button","Select month → View availability → Click date → See rates → Select dates","Color-code: green=available, yellow=limited, red=sold out; Show price per night; Min-stay indicators",calendar availability room rate pricing
p-ht-004,hotel-travel,data-entry,guest-check-in,"Self-service or front-desk guest check-in flow","Step 1: ID verification → Step 2: Room assignment → Step 3: Key card → Step 4: Welcome","GuestForm, BookingWizard, Card, Badge, Button, Toast","Find booking → Verify identity → Assign room → Issue key → Welcome package","Auto-fill from reservation; Photo ID upload; Mobile-optimized; Complete in under 90 seconds",check-in guest front-desk self-service mobile
p-ht-005,hotel-travel,crud,rate-management,"Rate and inventory management interface for hotel staff","Calendar grid → Bulk rate editor; Season/rate plan tabs; Audit trail","DataTable, AvailabilityCalendar, ComplexForm, TabNav, Badge, AlertDialog","Select date range → Edit rates → Apply rules → Review changes → Publish","Bulk date selection; Rate plan templates; Change preview; Rollback support; Audit all changes",rate management pricing inventory calendar admin
p-ht-006,hotel-travel,data-display,room-detail,"Detailed room information page with gallery, amenities, and booking CTA","RoomGallery (top) → RoomInfo + AmenityList (left) || BookingSummary (right sticky)","RoomGallery, AmenityList, PriceDisplay, ReviewCard, BookingSummary, Button","Browse rooms → Click room → View gallery → Check amenities → Read reviews → Book","Lazy-load gallery; Show availability inline; Highlight key amenities; Show recent reviews",room detail page gallery amenity review
p-ht-007,hotel-travel,booking,payment-flow,"Secure payment processing with multiple payment methods","Payment method tabs → Form → Review → Process → Confirmation","Card, Tabs, ComplexForm, PriceDisplay, Button, Alert, Toast","Select payment method → Enter details → Review total → Confirm → Processing → Success","Show secure badge; Support multiple methods; PCI compliance indicators; Clear error messages",payment checkout secure processing method
p-ht-008,hotel-travel,data-display,review-listing,"Guest review listing with ratings and management tools","Review summary → Filter/sort → Review cards → Pagination","ReviewCard, FilterPanel, RatingStars, Pagination, Badge","View summary → Filter by rating → Read reviews → (Staff: respond to review)","Sort by date/rating; Filter by score; Show verified badge; Paginate (10 per page)",review listing rating filter sort pagination
p-ht-009,hotel-travel,dashboard,hotel-dashboard,"Hotel management dashboard with occupancy and revenue metrics","StatCards (top) → OccupancyChart + RevenueChart (middle) → TodayCheckins table (bottom)","StatCard, DashboardCard, DataTable, Badge, DateRangePicker","View metrics → Check occupancy → Review today's activity → Drill into details","Show occupancy percentage; Revenue vs. target; Today's check-ins/outs; Quick links to management",dashboard hotel management occupancy revenue
p-ht-010,hotel-travel,data-entry,reservation-form,"Manual reservation creation for front desk staff","Guest search → Room selection → Date/rate → Special requests → Confirm","SearchInput, GuestForm, AvailabilityCalendar, PriceDisplay, ComplexForm, Button","Search guest → Select/create guest → Pick room → Set dates → Add notes → Confirm","Auto-complete returning guests; Show real-time availability; Calculate total instantly; Send confirmation",reservation form manual front-desk create
p-ht-011,hotel-travel,wizard,onboarding-tour,"First-time user onboarding with feature highlights","Overlay with tooltip pointers → Feature cards → Progress indicator","Card, Button, Progress, Badge, Dialog","Welcome → Feature 1 → Feature 2 → ... → Complete → Dashboard","Max 5 steps; Skip option always visible; Don't repeat for returning users; Contextual help after",onboarding tour welcome guide first-time
p-ht-012,hotel-travel,data-display,loyalty-program,"Loyalty program tier display with points and benefits","Tier card → Points balance → Benefits list → Earning history","Card, Badge, Progress, Table, Button","View tier → Check points → Browse benefits → View history → Redeem","Show tier progress bar; Next tier requirements; Points expiry notice; Redemption options",loyalty program tier points rewards benefits
